run 162: {'page': 2, 'para': 14, 'line': 3, 'text': 'er Grundth', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 163: {'page': 2, 'para': 14, 'line': 3, 'text': 'ä', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 164: {'page': 2, 'para': 14, 'line': 3, 'text': 'tigkeiten', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 165: {'page': 2, 'para': 14, 'line': 4, 'text': '', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 166: {'page': 2, 'para': 14, 'line': 4, 'text': 'und der Verm', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 167: {'page': 2, 'para': 14, 'line': 4, 'text': 'ö', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 168: {'page': 2, 'para': 14, 'line': 4, 'text': 'gen, gegen einander, und ihrer Abh', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 169: {'page': 2, 'para': 14, 'line': 4, 'text': 'ä', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 170: {'page': 2, 'para': 14, 'line': 4, 'text': 'n-', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 171: {'page': 2, 'para': 14, 'line': 5, 'text': '', 'isbreak': 'no', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 172: {'page': 2, 'para': 14, 'line': 5, 'text': 'gigkeit von einander aus Beobachtungen aufzu', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 173: {'page': 2, 'para': 14, 'line': 5, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 174: {'page': 2, 'para': 14, 'line': 5, 'text': 'uchen.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
